行政區名,senses_bad_days,normal_bad_days,county,district,prop_senses,prop_normal
臺北市中正區,19.0,2.0,臺北市,中正區,5.205479452054795,0.547945205479452
臺北市大同區,9.0,1.0,臺北市,大同區,2.4657534246575343,0.273972602739726
臺北市中山區,8.0,1.0,臺北市,中山區,2.191780821917808,0.273972602739726
臺北市松山區,18.0,3.0,臺北市,松山區,4.931506849315069,0.821917808219178
臺北市大安區,19.0,2.0,臺北市,大安區,5.205479452054795,0.547945205479452
臺北市萬華區,15.0,1.0,臺北市,萬華區,4.109589041095891,0.273972602739726
臺北市信義區,18.0,3.0,臺北市,信義區,4.931506849315069,0.821917808219178
臺北市士林區,15.0,4.0,臺北市,士林區,4.109589041095891,1.095890410958904
臺北市北投區,15.0,3.0,臺北市,北投區,4.109589041095891,0.821917808219178
臺北市內湖區,18.0,3.0,臺北市,內湖區,4.931506849315069,0.821917808219178
臺北市南港區,18.0,3.0,臺北市,南港區,4.931506849315069,0.821917808219178
臺北市文山區,35.0,4.0,臺北市,文山區,9.58904109589041,1.095890410958904
基隆市仁愛區,19.0,3.0,基隆市,仁愛區,5.205479452054795,0.821917808219178
基隆市信義區,19.0,3.0,基隆市,信義區,5.205479452054795,0.821917808219178
基隆市中正區,19.0,3.0,基隆市,中正區,5.205479452054795,0.821917808219178
基隆市中山區,19.0,3.0,基隆市,中山區,5.205479452054795,0.821917808219178
基隆市安樂區,40.0,6.0,基隆市,安樂區,10.95890410958904,1.643835616438356
基隆市暖暖區,19.0,3.0,基隆市,暖暖區,5.205479452054795,0.821917808219178
基隆市七堵區,27.0,2.0,基隆市,七堵區,7.397260273972603,0.547945205479452
新北市萬里區,40.0,6.0,新北市,萬里區,10.95890410958904,1.643835616438356
新北市金山區,15.0,3.0,新北市,金山區,4.109589041095891,0.821917808219178
連江縣南竿鄉,82.0,18.0,連江縣,南竿鄉,22.465753424657535,4.931506849315069
連江縣北竿鄉,82.0,18.0,連江縣,北竿鄉,22.465753424657535,4.931506849315069
連江縣莒光鄉,82.0,18.0,連江縣,莒光鄉,22.465753424657535,4.931506849315069
